Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey,MW,LogP,TPSA,RotBonds
CHEMBL2152138,CNC(=O)c1nc(-c2cccc(NS(=O)(=O)c3cccc(Cl)c3)c2)cnc1N,3381.0,nM,=,3.381,PASS,ChEMBL,IC50,RPTNIXINXWPCJL-UHFFFAOYSA-N,417.87800000000016,2.5396,127.07,5
CHEMBL2152139,CNC(=O)c1nc(-c2ccc(Cl)c(NS(=O)(=O)c3cccc(Cl)c3)c2)cnc1N,90.0,nM,=,0.09,PASS,ChEMBL,IC50,VDOAMMJTSVNAQH-UHFFFAOYSA-N,452.3230000000002,3.1930000000000005,127.07,5
CHEMBL2152140,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(C)c3)c2)cnc1N,323.0,nM,=,0.323,PASS,ChEMBL,IC50,FIWUANPUEQNRJI-UHFFFAOYSA-N,431.90500000000014,2.84802,127.07,5
CHEMBL2152141,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3)c2)cnc1N,316.0,nM,=,0.316,PASS,ChEMBL,IC50,FVEKEQIPCZDRBX-UHFFFAOYSA-N,435.8680000000001,2.6787,127.07,5
CHEMBL2152142,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(OC)c3)c2)cnc1N,290.0,nM,=,0.29,PASS,ChEMBL,IC50,WFDFSRCBAVJPOB-UHFFFAOYSA-N,447.90400000000017,2.5481999999999996,136.3,6
CHEMBL2152143,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(C(F)(F)F)c3)c2)cnc1N,727.0,nM,=,0.727,PASS,ChEMBL,IC50,PZDOIZMKZOTHRF-UHFFFAOYSA-N,485.8750000000001,3.5584000000000016,127.07,5
CHEMBL2152144,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(Cl)c3)c2)cnc1N,174.0,nM,=,0.174,PASS,ChEMBL,IC50,SLPGVUGNEKBWEN-UHFFFAOYSA-N,452.3230000000001,3.1930000000000005,127.07,5
CHEMBL2152145,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3ccccc3Cl)c2)cnc1N,476.0,nM,=,0.476,PASS,ChEMBL,IC50,OZYUKAKKGKFWMK-UHFFFAOYSA-N,452.3230000000001,3.1930000000000005,127.07,5
CHEMBL2152146,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3ccc(Cl)cc3)c2)cnc1N,142.0,nM,=,0.142,PASS,ChEMBL,IC50,KSFQJLSQGFAJRQ-UHFFFAOYSA-N,452.3230000000001,3.1930000000000005,127.07,5
CHEMBL2152147,CNC(=O)c1nc(-c2cccc(S(=O)(=O)Nc3cccc(Cl)c3)c2)cnc1N,705.0,nM,=,0.705,PASS,ChEMBL,IC50,KLNKWQSHMVRXAL-UHFFFAOYSA-N,417.87800000000016,2.5395999999999996,127.07,5
CHEMBL2152148,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3ccc(F)cc3Cl)c2)cnc1N,209.0,nM,=,0.209,PASS,ChEMBL,IC50,CSPAVQIOKSVCRJ-UHFFFAOYSA-N,470.3130000000001,3.3321000000000005,127.07,5
