Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey
CHEMBL272898,CCN(/C=C1/C(=O)O[C@H](COC)[C@]2(C)C3=C(C(=O)C(=O)C12)[C@@H]1CC[C@H](O)[C@@]1(C)C[C@H]3OC(C)=O)CCN(C)C,5.0,nM,=,0.005,PASS,ChEMBL,IC50,KUEFUDRFPITQHD-VBXVJZKGSA-N
CHEMBL409427,COC[C@H]1OC(=O)/C(=C/N(C)CCN(C)C)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,8.4,nM,=,0.0084,PASS,ChEMBL,IC50,SQDUJCJVOJOHJE-HBMVUJRWSA-N
CHEMBL271257,COC[C@H]1OC(=O)/C(=C/N(CCN(C)C)Cc2ccccc2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,66.0,nM,=,0.066,PASS,ChEMBL,IC50,GFPIONWDIWXCMZ-DYTFNEFXSA-N
CHEMBL272816,COC[C@H]1OC(=O)/C(=C/N(CCCN(C)C)C(C)(C)C)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,9.6,nM,=,0.0096,PASS,ChEMBL,IC50,IDBLLVYPNDKPIX-OIMWKMMQSA-N
CHEMBL410644,COC[C@H]1OC(=O)/C(=C/N(C)CCCN(C)C)C2C(=O)C(=O)C3=C([C@H](O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,638.0,nM,=,0.638,PASS,ChEMBL,IC50,BSVBYHLBZUBRKC-UHOYTCGJSA-N
CHEMBL409294,COC[C@H]1OC(=O)C(C=NCCCN(C)C)=C2C(=O)C(=O)C3C4CC[C@H](O)[C@@]4(C)C[C@@H](OC(C)=O)C3[C@]21C,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,BMKDPVYPXCWNAY-BKAOMDHNSA-N
CHEMBL410643,COC[C@H]1OC(=O)/C(=C/N(C)CCCN(C)C)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,64.0,nM,=,0.064,PASS,ChEMBL,IC50,BRCDSMLZJYXJRL-VBXVJZKGSA-N
CHEMBL411907,C=CCN(/C=C1/C(=O)O[C@H](COC)[C@]2(C)C3=C(C(=O)C(=O)C12)[C@@H]1CCC(=O)[C@@]1(C)C[C@H]3OC(C)=O)CC=C,88.0,nM,=,0.088,PASS,ChEMBL,IC50,FXLQTCWYUQYUQR-LNSSSILRSA-N
CHEMBL273832,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CC[C@H](O)[C@@]2(C)C[C@H]1OC(C)=O,2.7,nM,=,0.0027,PASS,ChEMBL,IC50,XLJORQYAOTYVQS-OGCOKEDGSA-N
CHEMBL428873,COC[C@H]1OC(=O)/C(=C/N2CCCC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,496.0,nM,=,0.496,PASS,ChEMBL,IC50,HERBJSIORSJRTC-URZOBYQNSA-N
